path,target
./data/figs_3/f0779_10.png,L
./data/figs_3/s0753_03.png,R
./data/figs_3/f0844_03.png,T
./data/figs_3/s0932_01.png,A
./data/figs_3/f0769_04.png,R
./data/figs_3/f0793_09.png,L
./data/figs_3/f0847_01.png,W
./data/figs_3/s0818_02.png,L
./data/figs_3/f0790_01.png,R
./data/figs_3/f0780_05.png,T
./data/figs_3/s0987_09.png,L
./data/figs_3/s0915_09.png,A
./data/figs_3/f0870_04.png,R
./data/figs_3/f0817_04.png,R
./data/figs_3/f0926_04.png,R
./data/figs_3/f0917_03.png,R
./data/figs_3/s0940_02.png,W
./data/figs_3/s0752_08.png,W
./data/figs_3/f0845_10.png,L
./data/figs_3/s0937_04.png,W
./data/figs_3/f0958_09.png,T
./data/figs_3/f0930_10.png,L
./data/figs_3/f0915_09.png,A
./data/figs_3/f1000_07.png,T
./data/figs_3/f0818_02.png,L
./data/figs_3/s0944_07.png,W
./data/figs_3/f0902_02.png,A
./data/figs_3/f0774_07.png,A
./data/figs_3/f0794_03.png,A
./data/figs_3/s0817_04.png,R
./data/figs_3/f0878_01.png,W
./data/figs_3/s0880_09.png,W
./data/figs_3/s0968_10.png,L
./data/figs_3/f0857_09.png,W
./data/figs_3/s0859_04.png,W
./data/figs_3/s0922_07.png,T
./data/figs_3/s0852_02.png,R
./data/figs_3/f0997_02.png,L
./data/figs_3/f0890_01.png,A
./data/figs_3/s0972_08.png,L
./data/figs_3/s0785_04.png,W
./data/figs_3/s0839_10.png,L
./data/figs_3/f0964_03.png,T
./data/figs_3/f0841_09.png,L
./data/figs_3/s0951_07.png,T
./data/figs_3/f0885_06.png,W
./data/figs_3/f0969_06.png,L
./data/figs_3/f0901_09.png,L
./data/figs_3/s0955_10.png,A
./data/figs_3/s0982_02.png,A
./data/figs_3/f0754_04.png,R
./data/figs_3/s0867_02.png,W
./data/figs_3/s0938_06.png,L
./data/figs_3/s0975_04.png,W
./data/figs_3/s0761_06.png,L
./data/figs_3/f0931_02.png,A
./data/figs_3/f0904_07.png,W
./data/figs_3/f0962_06.png,L
./data/figs_3/f0795_06.png,W
./data/figs_3/f0914_06.png,W
./data/figs_3/f0855_04.png,W
./data/figs_3/s0942_08.png,L
./data/figs_3/s0833_02.png,T
./data/figs_3/f0968_10.png,L
./data/figs_3/f0839_10.png,L
./data/figs_3/s0767_03.png,A
./data/figs_3/s0924_09.png,L
./data/figs_3/f0957_03.png,A
./data/figs_3/f0934_10.png,L
./data/figs_3/s0878_01.png,W
./data/figs_3/f0966_04.png,A
./data/figs_3/s0902_02.png,A
./data/figs_3/f0995_01.png,R
./data/figs_3/s0945_09.png,W
./data/figs_3/s0848_01.png,R
./data/figs_3/s0935_06.png,L
./data/figs_3/f0996_10.png,W
./data/figs_3/f0884_03.png,T
./data/figs_3/s0799_02.png,L
./data/figs_3/f0786_09.png,T
./data/figs_3/f0895_01.png,A
./data/figs_3/s0896_05.png,W
./data/figs_3/f0829_07.png,T
./data/figs_3/s0864_05.png,T
./data/figs_3/f0952_06.png,L
./data/figs_3/f0763_05.png,W
./data/figs_3/f0974_04.png,R
./data/figs_3/f0911_03.png,R
./data/figs_3/s0803_09.png,L
./data/figs_3/s0830_02.png,A
./data/figs_3/s0789_03.png,T
./data/figs_3/f0771_03.png,T
./data/figs_3/s0898_07.png,A
./data/figs_3/s0857_09.png,W
./data/figs_3/s0772_09.png,W
./data/figs_3/f0960_04.png,A
./data/figs_3/s0811_08.png,A
./data/figs_3/s0791_03.png,A
./data/figs_3/f0992_09.png,L
./data/figs_3/f0814_01.png,W
./data/figs_3/s0887_05.png,R
./data/figs_3/f0809_09.png,A
./data/figs_3/f0937_04.png,W
./data/figs_3/f0824_01.png,A
./data/figs_3/s0971_09.png,L
./data/figs_3/f0758_07.png,T
./data/figs_3/f0891_07.png,T
./data/figs_3/s0776_07.png,A
./data/figs_3/s0950_02.png,T
./data/figs_3/s0766_01.png,W
./data/figs_3/f0830_02.png,A
./data/figs_3/f0919_06.png,L
./data/figs_3/s0821_01.png,A
./data/figs_3/s0835_10.png,L
./data/figs_3/s0759_03.png,T
./data/figs_3/f0811_08.png,A
./data/figs_3/s0986_08.png,W
./data/figs_3/s0798_06.png,A
./data/figs_3/f0927_03.png,R
./data/figs_3/f0899_05.png,R
./data/figs_3/s0883_01.png,W
./data/figs_3/f0852_02.png,R
./data/figs_3/s0757_10.png,L
./data/figs_3/f0922_07.png,T
./data/figs_3/s0959_07.png,T
./data/figs_3/s0825_09.png,W
./data/figs_3/s0801_07.png,A
./data/figs_3/s0958_09.png,T
./data/figs_3/f0877_02.png,L
./data/figs_3/s0813_03.png,R
./data/figs_3/s0832_09.png,L
./data/figs_3/s0875_02.png,A
./data/figs_3/f0908_07.png,A
./data/figs_3/f0941_02.png,T
./data/figs_3/f0982_02.png,A
./data/figs_3/s0999_07.png,L
./data/figs_3/f0772_09.png,W
./data/figs_3/f0874_01.png,A
./data/figs_3/s0969_06.png,L
./data/figs_3/s0899_05.png,R
./data/figs_3/s0965_10.png,L
./data/figs_3/f0940_02.png,W
./data/figs_3/f0848_01.png,R
./data/figs_3/f0987_09.png,L
./data/figs_3/f0912_02.png,T
./data/figs_3/s0850_07.png,T
./data/figs_3/f0932_01.png,A
./data/figs_3/f0988_04.png,W
./data/figs_3/s0775_09.png,W
./data/figs_3/s0860_07.png,W
./data/figs_3/s0927_03.png,R
./data/figs_3/s0893_05.png,R
./data/figs_3/s0948_02.png,A
./data/figs_3/s0991_02.png,W
./data/figs_3/f0998_06.png,A
./data/figs_3/s0862_08.png,T
./data/figs_3/f0925_03.png,R
./data/figs_3/f0863_08.png,A
./data/figs_3/s0822_05.png,R
./data/figs_3/f0798_06.png,A
./data/figs_3/f0954_04.png,W
./data/figs_3/f0978_09.png,L
./data/figs_3/s0800_01.png,R
./data/figs_3/f0977_08.png,T
./data/figs_3/f0837_02.png,L
./data/figs_3/f0923_04.png,W
./data/figs_3/f0822_05.png,R
./data/figs_3/f0920_05.png,W
./data/figs_3/f0764_01.png,W
./data/figs_3/s0846_06.png,W
./data/figs_3/s0881_01.png,W
./data/figs_3/f0903_01.png,R
./data/figs_3/s0917_03.png,R
./data/figs_3/s0956_09.png,L
./data/figs_3/s0886_09.png,L
./data/figs_3/f0804_03.png,T
./data/figs_3/s0905_03.png,T
./data/figs_3/s0988_04.png,W
./data/figs_3/s0961_03.png,R
./data/figs_3/s0812_10.png,L
./data/figs_3/f0753_03.png,R
./data/figs_3/s0934_10.png,L
./data/figs_3/s0851_05.png,R
./data/figs_3/f0967_02.png,T
./data/figs_3/s0933_01.png,R
./data/figs_3/s0794_03.png,A
./data/figs_3/f0840_03.png,A
./data/figs_3/f0801_07.png,A
./data/figs_3/f0862_08.png,T
./data/figs_3/s0823_06.png,A
./data/figs_3/s0763_05.png,W
./data/figs_3/f0918_06.png,L
./data/figs_3/s0790_01.png,R
./data/figs_3/s0815_07.png,L
./data/figs_3/s0888_10.png,L
./data/figs_3/s0837_02.png,L
./data/figs_3/f0989_06.png,L
./data/figs_3/s0907_06.png,L
./data/figs_3/f0882_02.png,W
./data/figs_3/s0949_04.png,R
./data/figs_3/f0797_04.png,W
./data/figs_3/f0858_03.png,R
./data/figs_3/s0912_02.png,T
./data/figs_3/f0916_09.png,L
./data/figs_3/f0976_09.png,A
./data/figs_3/s0760_06.png,T
./data/figs_3/s0777_08.png,W
./data/figs_3/f0950_02.png,T
./data/figs_3/s0966_04.png,A
./data/figs_3/s0947_01.png,W
./data/figs_3/f0938_06.png,L
./data/figs_3/s0758_07.png,T
./data/figs_3/s0920_05.png,W
./data/figs_3/f0893_05.png,R
./data/figs_3/s0910_07.png,T
./data/figs_3/s0782_10.png,L
./data/figs_3/f0984_04.png,R
./data/figs_3/s0855_04.png,W
./data/figs_3/s0816_09.png,L
./data/figs_3/s0877_02.png,L
./data/figs_3/f0838_06.png,L
./data/figs_3/s0773_10.png,L
./data/figs_3/f0842_05.png,R
./data/figs_3/f0810_10.png,L
./data/figs_3/f0886_09.png,L
./data/figs_3/s0989_06.png,L
./data/figs_3/f0972_08.png,L
./data/figs_3/s0943_01.png,R
./data/figs_3/s0751_08.png,L
./data/figs_3/f0762_06.png,A
./data/figs_3/f0985_01.png,A
./data/figs_3/f0791_03.png,A
./data/figs_3/f0986_08.png,W
./data/figs_3/f0760_06.png,T
./data/figs_3/s0936_01.png,R
./data/figs_3/f0843_05.png,R
./data/figs_3/f0965_10.png,L
./data/figs_3/s0843_05.png,R
./data/figs_3/s0863_08.png,A
./data/figs_3/s0911_03.png,R
./data/figs_3/f0881_01.png,W
./data/figs_3/f0805_01.png,R
./data/figs_3/s0802_01.png,R
./data/figs_3/f0775_09.png,W
./data/figs_3/s0885_06.png,W
./data/figs_3/f0906_08.png,L
./data/figs_3/f0831_10.png,A
./data/figs_3/f0943_01.png,R
./data/figs_3/s0946_05.png,W
./data/figs_3/s0897_08.png,T
./data/figs_3/s0754_04.png,R
./data/figs_3/f0959_07.png,T
./data/figs_3/f0900_09.png,W
./data/figs_3/s0769_04.png,R
./data/figs_3/s0793_09.png,L
./data/figs_3/f0782_10.png,L
./data/figs_3/f0889_04.png,A
./data/figs_3/f0756_07.png,A
./data/figs_3/f0973_05.png,R
./data/figs_3/s0847_01.png,W
./data/figs_3/s0842_05.png,R
./data/figs_3/f0905_03.png,T
./data/figs_3/f0803_09.png,L
./data/figs_3/f0853_01.png,R
./data/figs_3/s0771_03.png,T
./data/figs_3/s0884_03.png,T
./data/figs_3/s0985_01.png,A
./data/figs_3/f0784_06.png,A
./data/figs_3/s0953_09.png,W
./data/figs_3/s0993_08.png,T
./data/figs_3/s0921_04.png,A
./data/figs_3/s0784_06.png,A
./data/figs_3/s0868_07.png,T
./data/figs_3/s0914_06.png,W
./data/figs_3/s0866_07.png,L
./data/figs_3/s0854_02.png,L
./data/figs_3/f0860_07.png,W
./data/figs_3/s1000_07.png,T
./data/figs_3/f0936_01.png,R
./data/figs_3/s0795_06.png,W
./data/figs_3/s0964_03.png,T
./data/figs_3/f0812_10.png,L
./data/figs_3/s0904_07.png,W
./data/figs_3/s0981_02.png,W
./data/figs_3/f0833_02.png,T
./data/figs_3/f0789_03.png,T
./data/figs_3/f0947_01.png,W
./data/figs_3/s0876_04.png,R
./data/figs_3/s0977_08.png,T
./data/figs_3/f0799_02.png,L
./data/figs_3/f0777_08.png,W
./data/figs_3/f0759_03.png,T
./data/figs_3/f0832_09.png,L
./data/figs_3/s0834_02.png,A
./data/figs_3/f0846_06.png,W
./data/figs_3/s0967_02.png,T
./data/figs_3/s0838_06.png,L
./data/figs_3/s0882_02.png,W
./data/figs_3/f0869_05.png,R
./data/figs_3/s0828_07.png,W
./data/figs_3/f0910_07.png,T
./data/figs_3/f0856_02.png,T
./data/figs_3/s0861_03.png,W
./data/figs_3/f0887_05.png,R
./data/figs_3/f0867_02.png,W
./data/figs_3/s0889_04.png,A
./data/figs_3/f0820_06.png,A
./data/figs_3/f0892_06.png,L
./data/figs_3/s0918_06.png,L
./data/figs_3/f0851_05.png,R
./data/figs_3/f0871_04.png,W
./data/figs_3/f0898_07.png,A
